,ko_id,abund_by_num_reads,abund_by_nts_covered_in_reads,abund_by_mean_cov,abund_by_median_cov
0,ko:K13747,0.00019944951932665843,0.00022844096049981665,0.00020635078283495555,0.0
1,ko:K03657,0.0026327336551118905,0.002886579976875687,0.001259505128804626,0.0
2,ko:K00992,0.00015955961546132674,8.833050472659577e-05,0.00013401951771932326,0.0
3,ko:K06204,0.0002393394231919901,0.000191890406819846,0.0004760765124926296,0.0
4,ko:K00783,0.0002792293270573218,0.0002476300011818012,0.0005421530499621615,0.0
5,ko:K01879,0.0007977980773066339,0.0008622884788999745,0.0004299962398488063,0.0
6,ko:K00459,0.0008376879811719659,0.0007736533862260457,0.0007296826154274214,0.0
7,ko:K09760,0.000518568750249312,0.0005333334957802387,0.00042964160132706147,0.0
8,ko:K01338,0.0018349355778052591,0.001897582911885145,0.0008533347075070197,0.0
9,ko:K05807,0.00035900913478798517,0.0003527128430117169,0.0004738746587908334,0.0
10,ko:K00239,0.0005584586541146437,0.0006110034223501763,0.00034589368985590217,0.0
11,ko:K01953,0.0009573576927679611,0.0010380357245111669,0.0006076008430306037,0.0
12,ko:K13993,0.00039889903865331685,0.00033961556127639405,0.0007638293909115411,0.0
13,ko:K00336,0.0007977980773066341,0.0008071580604326854,0.0003836722560883272,0.0
14,ko:K03269,7.977980773066337e-05,9.137638419992666e-05,0.0001374459816284061,0.0
15,ko:K00145,0.00039889903865331685,0.00042642312626632443,0.0004321631902256512,0.0
16,ko:K00549,0.0010371375004986244,0.0010983441380831187,0.0006064293633750339,0.0
17,ko:K02500,0.000518568750249312,0.0004118029047943361,0.0005538656693818993,0.0
18,ko:K01955,0.002193944712593243,0.002451932976031368,0.0008371984081522753,0.0
19,ko:K01609,0.000518568750249312,0.0004599278004729642,0.0006116113889399491,0.0
20,ko:K03043,0.002592843751246559,0.002877442338455693,0.0007567311036974009,0.0
21,ko:K00097,0.00019944951932665843,0.0002189987341324909,0.00023207488866799035,0.0
22,ko:K01491,0.0006781283657106389,0.0006841045297101176,0.0008735333437699111,0.0
23,ko:K06881,0.00039889903865331685,0.0004200267793723295,0.0004404071452534857,0.0
24,ko:K00767,0.00039889903865331685,0.00031707605317374553,0.00038398163483058327,0.0
25,ko:K23269,0.0005584586541146437,0.0006396346893994866,0.00029710754681867044,0.0
26,ko:K06173,0.000518568750249312,0.00048459942420694437,0.0006247748166324778,0.0
27,ko:K01772,0.0004786788463839802,0.0004870361277856091,0.0004903068919682723,0.0
28,ko:K01256,0.0010770274043639559,0.0011687039539170622,0.00046724983465523207,0.0
29,ko:K01267,7.977980773066337e-05,9.137638419992666e-05,7.692811020604597e-05,0.0
30,ko:K00930,0.0005983485579799754,0.0005829813311955321,0.0007025029431498719,0.0
31,ko:K00912,0.0002792293270573218,0.00022661343281581812,0.00022806128678254958,0.0
32,ko:K06895,0.0002393394231919901,0.0002357510712358108,0.00039181814694761005,0.0
33,ko:K02077,0.0002393394231919901,0.00024367035786647108,0.00025449489315023093,0.0
34,ko:K06969,0.00039889903865331685,0.0003639825970630412,0.00035755472675871175,0.0
35,ko:K01139,0.001555706250747937,0.0015990867234987175,0.0008155929169534488,0.0
36,ko:K03313,0.0005584586541146437,0.0006058254272455138,0.0005651139698082421,0.0
37,ko:K00058,0.0008376879811719659,0.0008424902623233238,0.0006803681529689486,0.0
38,ko:K03100,0.0007180182695759704,0.0006792311225527881,0.0008453741717522023,0.0
39,ko:K03752,0.0002792293270573218,0.0003012374799124249,0.0005149415383503389,0.0
40,ko:K01599,0.0005983485579799754,0.0006036933116141821,0.0005951560016632137,0.0
41,ko:K01662,0.0007579081734413024,0.0007946699545920289,0.000438481077282515,0.0
42,ko:K01079,0.00015955961546132674,0.0001443746870358841,0.0001728792639954904,0.0
43,ko:K01586,0.0009573576927679609,0.0009478776921005726,0.0007650834803703634,0.0
44,ko:K00979,0.00019944951932665843,0.00022844096049981665,0.000317840938874975,0.0
45,ko:K02341,0.0009972475966332926,0.0009990484672525314,0.00104743566980195,0.0
46,ko:K06187,0.0004786788463839802,0.0004328194731603193,0.0007475573287706136,0.0
47,ko:K08289,0.0002792293270573218,0.0002509804686024652,0.0002480608594983439,0.0
48,ko:K03671,0.000518568750249312,0.0004242910106349928,0.0013329931913453295,0.003527336860670194
49,ko:K14227,0.0002792293270573218,0.00012213976688056863,0.0016658415753690137,0.01763668430335097
50,ko:K11085,0.0004786788463839802,0.0004891682434169407,0.00029077197003836425,0.0
51,ko:K00029,0.0005584586541146437,0.0005909006178261924,0.00033221434648847116,0.0
52,ko:K02982,0.0005983485579799753,0.0006295832871374946,0.0009117714521706772,0.0
53,ko:K06213,0.00043878894251864854,0.0004425662874749781,0.00032536110924007654,0.0
54,ko:K03076,0.0007180182695759707,0.0007809634969620398,0.000613279905774153,0.0
55,ko:K09861,0.0002393394231919901,0.00018793076350451582,0.0002634385163380231,0.0
56,ko:K17686,0.0009573576927679609,0.000990215416779872,0.00043947237736760846,0.0
57,ko:K00766,0.0005983485579799754,0.0005665335820395453,0.0005775561945506538,0.0
58,ko:K01682,0.00039889903865331685,0.0004550543933156347,0.00018092902781070724,0.0
59,ko:K03469,0.000518568750249312,0.00048551318804894363,0.0010364087524358553,0.0
60,ko:K06921,0.00011966971159599506,0.00013706457629989,0.00013652204417583923,0.0
61,ko:K00942,0.000518568750249312,0.00034144308896039263,0.0005747381957447696,0.0
62,ko:K01733,0.0008775778850372974,0.0008245195734306714,0.0006332823179575944,0.0
63,ko:K10254,0.00011966971159599506,0.00013706457629989,8.263391792038065e-05,0.0
64,ko:K15231,3.9889903865331685e-05,4.568819209996333e-05,3.5367659354116826e-05,0.0
65,ko:K03498,0.0008775778850372974,0.0008723398811619665,0.0006210867688435809,0.0
66,ko:K07107,0.0004786788463839802,0.00040632032174234056,0.0009679756464862452,0.0
67,ko:K01756,0.0009972475966332926,0.0009131546661046003,0.0006956244992044258,0.0
68,ko:K01895,0.0005584586541146437,0.0006396346893994866,0.00036480539259931834,0.0
69,ko:K12573,0.0008376879811719659,0.0009399584054699122,0.00042305118724191113,0.0
70,ko:K00179,0.0002393394231919901,0.00024184283018247255,0.0001438346040770802,0.0
71,ko:K03182,0.0004786788463839802,0.0005409481944635658,0.0003529476982312553,0.0
72,ko:K07114,0.0007180182695759707,0.0007532459937547287,0.0005886216475246375,0.0
73,ko:K16053,0.0002792293270573218,0.0002814392633357741,0.00023405470456565843,0.0
74,ko:K02573,0.00011966971159599506,0.00013706457629989,0.0001852716534389055,0.0
75,ko:K03073,0.0002792293270573218,0.00021107944750183057,0.0008655164412052382,0.007054673721340388
76,ko:K14235,0.00015955961546132674,5.969923767728542e-05,0.0008294921223149763,0.010582010582010581
77,ko:K00655,0.0008376879811719659,0.0007791359692780413,0.001077544940525639,0.0
78,ko:K03438,0.0007977980773066341,0.0007203504954427551,0.000784319756476094,0.0
79,ko:K01154,0.0007180182695759707,0.0008114222916953487,0.0006784790195145662,0.0
80,ko:K05837,0.0007579081734413024,0.0007669524513847178,0.0006635784893730467,0.0
81,ko:K01886,0.0004786788463839802,0.0004571865089469664,0.0002837404860655838,0.0
82,ko:K01153,0.0012365870198252833,0.0013021134748489557,0.0004898866767084193,0.0
83,ko:K19342,7.977980773066337e-05,9.137638419992666e-05,0.0002128893891556985,0.0
84,ko:K23876,0.00015955961546132674,0.00018275276839985332,0.00023878158538209488,0.0
85,ko:K00602,0.0007180182695759704,0.0008223874577993399,0.0005471021718644871,0.0
86,ko:K00077,0.0004786788463839802,0.00047211131836628775,0.000520108413179644,0.0
87,ko:K03558,0.00015955961546132674,0.00014863891829854737,0.0002737424857266482,0.0
88,ko:K03466,0.0024332841357852324,0.0026861611075305143,0.0009978044874662177,0.0
89,ko:K00950,0.0002393394231919901,0.0002649915141797873,0.0005543471309142274,0.0
90,ko:K08970,0.00011966971159599506,9.83819069885877e-05,0.00011812124745535515,0.0
91,ko:K03217,0.0014360365391519418,0.0015165433897714503,0.0011539621735546697,0.0
92,ko:K09765,0.00015955961546132674,0.00017331054203252754,0.00023272201926268282,0.0
93,ko:K17218,0.00035900913478798517,0.00034875319969638675,0.00027304229209646657,0.0
94,ko:K07277,0.0011169173082292878,0.001272873031904979,0.0005415114035876497,0.0
95,ko:K03550,0.0005584586541146437,0.0005202362140449158,0.0008949923424566392,0.0
96,ko:K01447,0.00035900913478798517,0.0003603275416950441,0.00047110556899278993,0.0
97,ko:K02897,0.00039889903865331685,0.00038286704979769267,0.0006806380270662563,0.0
98,ko:K07263,0.0011169173082292878,0.001236017890277675,0.0007282238645802258,0.0
99,ko:K03695,0.001475926443017273,0.001609747301655376,0.0006568431439128485,0.0
100,ko:K19640,0.00015955961546132674,0.00018275276839985332,0.00011125071608966714,0.0
101,ko:K01649,0.0008376879811719654,0.0009104133745786026,0.0006227840505221655,0.0
102,ko:K10857,3.9889903865331685e-05,4.020560904796773e-05,5.5795564571558825e-05,0.0
103,ko:K06168,0.0007579081734413024,0.0007462404709660677,0.0005515591219455051,0.0
104,ko:K00573,0.00039889903865331685,0.00036002295374771106,0.0005374976728619291,0.0
105,ko:K00703,0.00043878894251864854,0.00037799364264036326,0.0003019145298326859,0.0
106,ko:K00052,0.00043878894251864854,0.0004084524373736722,0.00039068005606668387,0.0
107,ko:K01448,0.0008376879811719659,0.0009149821937885989,0.0007711329118337945,0.0
108,ko:K02847,0.0002393394231919901,0.0002719970369684483,0.0002235015743598117,0.0
109,ko:K22451,3.9889903865331685e-05,4.568819209996333e-05,2.359611456159218e-05,0.0
110,ko:K07270,0.00011966971159599506,9.777273109392153e-05,0.00012959001679419097,0.0
111,ko:K01704,0.0002792293270573218,0.00020894733187049895,0.0003653871157216801,0.0
112,ko:K04066,0.0011966971159599513,0.0012853611377456357,0.0006014993420029036,0.0
113,ko:K01977,0.002832183174438548,0.0029018093742423402,0.001959240090139813,0.0
114,ko:K06920,0.0003191192309226535,0.00030519712322775504,0.00046166637565333386,0.0
115,ko:K01972,0.0015955961546132683,0.001731582480588611,0.0008770104015927224,0.0
116,ko:K12340,0.0003191192309226535,0.00031311640985841533,0.00024129600150177372,0.0
117,ko:K02335,0.0020742750009972483,0.0022624792727901862,0.0009012610004330129,0.0
118,ko:K00789,0.0006382384618453072,0.0006173997692441711,0.0005308155493392501,0.0
119,ko:K02551,0.0002792293270573218,0.00029666866070242857,0.0001811045979966733,0.0
120,ko:K00700,0.0007180182695759707,0.0007745671500680449,0.00037779314639668304,0.0
121,ko:K02484,0.00039889903865331685,0.0004370837044229825,0.0003493110148994254,0.0
122,ko:K03640,0.0002393394231919901,0.0001385875160365554,0.0002576508841154092,0.0
123,ko:K00366,3.9889903865331685e-05,3.533220189063831e-05,1.9129524572709692e-05,0.0
124,ko:K00620,0.0003191192309226535,0.00035332201890638307,0.0003059134417371092,0.0
125,ko:K01915,0.0011568072120946198,0.0012616032778536546,0.0008687572677843272,0.0
126,ko:K01610,0.00039889903865331685,0.0004568819209996333,0.0002928490118485627,0.0
127,ko:K01897,0.0015955961546132687,0.0017239677819052845,0.0010574222715709787,0.0
128,ko:K03723,0.0016753759623439324,0.0017081292086439635,0.0005205431281284753,0.0
129,ko:K02567,0.00015955961546132674,0.00016051784824453784,6.0813808182654346e-05,0.0
130,ko:K13819,3.9889903865331685e-05,4.568819209996333e-05,4.842648742332921e-05,0.0
131,ko:K01159,0.000518568750249312,0.0004922141228902717,0.0010048285313064575,0.0
132,ko:K02574,0.00011966971159599506,0.00013706457629989,0.0001583943407390597,0.0
133,ko:K00931,0.0006382384618453072,0.0006972018114454404,0.0007337219101132837,0.0
134,ko:K00615,0.0017551557700745955,0.001835446970629195,0.0013307102274209158,0.0
135,ko:K01585,0.00043878894251864854,0.00047728931347095025,0.0003000069373213032,0.0
136,ko:K09689,0.00011966971159599506,0.00013706457629989,0.0002130192305161394,0.0
137,ko:K02945,0.0011568072120946198,0.0012521610514863288,0.0008000302695995075,0.0
138,ko:K12506,0.0002393394231919901,0.00025341717218112995,0.0002183714467459372,0.0
139,ko:K03628,0.0007977980773066341,0.00086381141863664,0.000618172472018011,0.0
140,ko:K02050,0.00043878894251864854,0.0003621550693790426,0.00045366304170576827,0.0
141,ko:K02770,0.0006781283657106387,0.0006844091176574507,0.000426449189800461,0.0
142,ko:K03111,0.001116917308229288,0.0009789456627285473,0.0021245276020267025,0.0
143,ko:K02004,0.003709761059475843,0.0039188285303875265,0.0019343856969465658,0.0
144,ko:K03722,0.0008775778850372976,0.0009241198322085916,0.0004053761603207933,0.0
145,ko:K03685,0.0005983485579799754,0.0005528271244095562,0.0007971545715653603,0.0
146,ko:K01489,0.00019944951932665843,0.00018397112018918568,0.00031984802014392946,0.0
147,ko:K14223,0.00019944951932665843,7.675616272793839e-05,0.001077874245488971,0.010582010582010581
148,ko:K21469,0.00011966971159599506,0.00013706457629989,0.00010626939433913902,0.0
149,ko:K00262,0.00043878894251864854,0.0004785076652602826,0.0003669721520161455,0.0
150,ko:K03439,0.0007579081734413024,0.0007252239026000845,0.0010906407544040383,0.0
151,ko:K08722,7.977980773066337e-05,2.832667910197726e-05,4.7434062529606e-05,0.0
152,ko:K03332,0.00019944951932665843,0.00022844096049981665,8.280418209762438e-05,0.0
153,ko:K16649,7.977980773066337e-05,7.980204220126927e-05,8.713149517762864e-05,0.0
154,ko:K04043,0.0017551557700745955,0.0019414435763011105,0.0010567453021510496,0.0
155,ko:K00858,0.00043878894251864854,0.00044865804642163986,0.0005479702740253896,0.0
156,ko:K03631,0.0005983485579799754,0.0006250144679274983,0.0003796903196066724,0.0
157,ko:K00005,0.0002393394231919901,0.000250066704760466,0.00023579655483950608,0.0
158,ko:K03168,0.001954605289401254,0.0021424716215409493,0.0009124872347049047,0.0
159,ko:K03601,0.0008775778850372976,0.0008796499918979605,0.0006845968308010596,0.0
160,ko:K03602,0.00015955961546132674,9.381308777859137e-05,0.00036106003105662593,0.0
161,ko:K08303,0.0007180182695759707,0.0007581194009120581,0.0005846423659288388,0.0
162,ko:K11927,0.00035900913478798517,0.0003819532859556934,0.00028912343937715826,0.0
163,ko:K18941,0.00011966971159599506,0.00013706457629989,0.00020327868021874585,0.0
164,ko:K01531,0.00043878894251864854,0.00048551318804894363,0.00018406564432508758,0.0
165,ko:K06217,0.0005584586541146437,0.0005808492155642004,0.0006309660010459732,0.0
166,ko:K22316,0.00011966971159599506,0.00013706457629989,0.00015012600130020419,0.0
167,ko:K02343,0.0013562567314212783,0.0013459741392649203,0.0007605788384929678,0.0
168,ko:K02313,0.0009174677889026294,0.0010298118499331736,0.0007563259731862907,0.0
169,ko:K02563,0.0007977980773066341,0.0007931470148553634,0.0007512230127732203,0.0
170,ko:K13038,0.0004786788463839802,0.0004108891409523369,0.0003365153390459203,0.0
171,ko:K01151,0.0004786788463839802,0.00044378463926431045,0.0005313737887003007,0.0
172,ko:K01258,0.00039889903865331685,0.00040357903021634277,0.00033447089686075457,0.0
173,ko:K25232,0.0002792293270573218,0.00027839338386244323,0.00033219141974850263,0.0
174,ko:K03070,0.001954605289401254,0.002164097365801598,0.000836361028717049,0.0
175,ko:K00059,0.0015557062507479368,0.001517152565666116,0.0020678241964591747,0.0
176,ko:K02526,0.00011966971159599506,6.426805688728175e-05,6.653238151546194e-05,0.0
177,ko:K07452,0.00015955961546132674,0.00012122600303856936,6.093547891179977e-05,0.0
178,ko:K07568,0.0007977980773066341,0.0007724350344367134,0.0007328818511888772,0.0
179,ko:K01893,0.0009573576927679609,0.0009655437930458916,0.0007207380316470796,0.0
180,ko:K03427,0.0012365870198252833,0.0013709503509462338,0.0008602143715976767,0.0
181,ko:K21471,0.0005983485579799754,0.0006177043571915042,0.0006738289194150638,0.0
182,ko:K01992,0.0019147153855359228,0.0018966691480431462,0.002056509516718202,0.0
183,ko:K25026,0.0004786788463839802,0.000490386595206273,0.0005294346672149723,0.0
184,ko:K13889,0.0002393394231919901,0.00023849236276180858,0.00014288956258186395,0.0
185,ko:K04763,0.0006382384618453072,0.0006515136193454771,0.0006886796181648584,0.0
186,ko:K03544,0.0010371375004986244,0.0010404724280898316,0.0008351979694248935,0.0
187,ko:K07462,0.0006781283657106389,0.0007224826110740868,0.0003729389666595167,0.0
188,ko:K00425,0.0007579081734413024,0.0008269562770093363,0.000577416643271274,0.0
189,ko:K01868,0.0015158163468826052,0.001470550609724154,0.0008010666364562363,0.0
190,ko:K19405,7.977980773066337e-05,5.086618720462584e-05,4.857417381778693e-05,0.0
191,ko:K19411,3.9889903865331685e-05,4.3860664415964795e-05,8.680941923162946e-05,0.0
192,ko:K00347,0.0002393394231919901,0.0002305730761311483,0.00018643164269747917,0.0
193,ko:K01462,0.0006382384618453072,0.0006365888099261559,0.0012089003676216867,0.0
194,ko:K01867,0.0006781283657106389,0.0006844091176574507,0.0006988293522039578,0.0
195,ko:K01358,0.0004786788463839802,0.00045505439331563466,0.0007165124349454577,0.0
196,ko:K02434,0.0007180182695759707,0.0007712166826473809,0.0005449755085359989,0.0
197,ko:K01214,0.0005584586541146437,0.0005695794615128762,0.00027152067713448567,0.0
198,ko:K11717,0.0009174677889026291,0.0008702077655306349,0.0007192131191504451,0.0
199,ko:K01925,0.0007180182695759707,0.0007958883063813612,0.0006015011581333315,0.0
200,ko:K00688,0.0009174677889026294,0.0010191512717765154,0.00044262180260401816,0.0
201,ko:K01873,0.0018748254816705907,0.0021043981281243128,0.0008344937586855994,0.0
202,ko:K20265,0.00015955961546132674,0.00018275276839985332,0.00013187094738788767,0.0
203,ko:K01980,0.003869320674937168,0.004234077055877271,0.0015016091806068657,0.0
204,ko:K12257,0.0007579081734413022,0.0008178186385893435,0.00028699886802191054,0.0
205,ko:K00970,0.0007579081734413024,0.0007812680849093729,0.0006171209589839837,0.0
206,ko:K03834,0.0003191192309226535,0.000308547590648419,0.00026403242072822546,0.0
207,ko:K06890,0.0002393394231919901,0.00017239677819052827,0.00023987870236546956,0.0
208,ko:K01928,0.0006382384618453072,0.000617095181296838,0.0004477976001636792,0.0
209,ko:K03497,0.0006781283657106389,0.0006710072479747947,0.0007673219056400358,0.0
210,ko:K00263,0.0002393394231919901,0.0002628593985484557,0.0002580687116179089,0.0
211,ko:K06888,0.0003191192309226535,0.00036550553679970665,0.00018354754139213706,0.0
212,ko:K02495,0.00035900913478798517,0.00041119372889966997,0.00030541585222570224,0.0
213,ko:K03583,0.0005584586541146437,0.0006396346893994866,0.00020094277218096892,0.0
214,ko:K03798,0.00235350432805457,0.0025655442803866105,0.0014834696197431746,0.0
215,ko:K02358,0.0011966971159599513,0.0011799737079683868,0.001023723331203508,0.0
216,ko:K15582,0.00043878894251864854,0.00043160112137098687,0.00045876709052242214,0.0
217,ko:K01698,0.00043878894251864854,0.00046571497147229285,0.0004903164062074331,0.0
218,ko:K02455,0.00043878894251864854,0.00044804887052697374,0.00039934372847878915,0.0
219,ko:K16239,7.977980773066337e-05,7.371028325460751e-05,4.3708239053687526e-05,0.0
220,ko:K03310,0.0008376879811719657,0.0008957931531066143,0.000638801722385369,0.0
221,ko:K15581,0.000518568750249312,0.0004587094486836318,0.0004780706612539475,0.0
222,ko:K00873,0.0011568072120946196,0.0011010854296091164,0.0007724178552069291,0.0
223,ko:K03664,0.000518568750249312,0.00047332967015562005,0.0010373786276062016,0.0
224,ko:K14219,0.0004786788463839802,0.00018214359250518715,0.002501152507003624,0.021164021164021163
225,ko:K07056,0.0007579081734413024,0.0007240055508107522,0.0009418634887632654,0.0
226,ko:K02337,0.0023136144241892383,0.0025826012054372635,0.0007806608428823611,0.0
227,ko:K01881,0.001236587019825283,0.0013612035366315747,0.0008788589796366809,0.0
228,ko:K01885,0.0007977980773066341,0.0008793454039506275,0.0006413964561686073,0.0
229,ko:K02519,0.001436036539151942,0.0015652774613447449,0.0006401389121423614,0.0
230,ko:K07315,0.0007977980773066341,0.0008692940016886356,0.0005975732098429696,0.0
231,ko:K00164,0.0009573576927679609,0.0009749860194132174,0.0003643342438764405,0.0
232,ko:K02117,0.00019944951932665843,0.00022844096049981665,0.00013347419903723474,0.0
233,ko:K00677,0.0005584586541146437,0.0005848088588795307,0.0007520639971974194,0.0
234,ko:K00350,0.0003191192309226535,0.000308547590648419,0.00047254802044622744,0.0
235,ko:K02601,0.0006781283657106389,0.0005479537172522268,0.0009498858260149347,0.0
236,ko:K02902,0.0003191192309226535,0.00010538742977724874,0.0004626282713448537,0.0
237,ko:K02433,0.0007579081734413022,0.000829697568535334,0.0005856222147676417,0.0
238,ko:K01887,0.0006781283657106389,0.0007109082690754294,0.00043491583852587045,0.0
239,ko:K22099,3.9889903865331685e-05,2.4976211681313285e-05,3.506511391294811e-05,0.0
240,ko:K00287,0.00039889903865331685,0.00041210749274166923,0.0008501223723417224,0.0
241,ko:K00088,0.0006781283657106387,0.0007441083553347361,0.0005702719365273674,0.0
242,ko:K00348,7.977980773066337e-05,6.335429304528249e-05,7.258370083169699e-05,0.0
243,ko:K02492,0.0003191192309226535,0.0003624596573263757,0.0002852210136756463,0.0
244,ko:K00349,0.00011966971159599506,9.899108288325389e-05,0.0001605624528275286,0.0
245,ko:K01803,0.0004786788463839802,0.0004909957711009392,0.0006639298976987805,0.0
246,ko:K03701,0.0021939447125932437,0.0024705128408186866,0.0008421724688958457,0.0
247,ko:K03471,0.00011966971159599506,0.0001288407017218966,0.00013693072543524465,0.0
248,ko:K02033,0.0007977980773066341,0.0008376168551659943,0.0008567782039118944,0.0
249,ko:K08316,0.0004786788463839802,0.0003892633966916875,0.0006922020785848433,0.0
250,ko:K07220,0.00011966971159599506,0.00013706457629989,0.00021629975315673634,0.0
251,ko:K03306,0.00035900913478798517,0.0002960594848077624,0.0002459292836588459,0.0
252,ko:K00850,0.00035900913478798517,0.0003548449586430485,0.0003491356738176752,0.0
253,ko:K06889,0.0006382384618453072,0.0006073483669821792,0.0005898046824250356,0.0
254,ko:K11381,0.00035900913478798517,0.00041119372889966997,0.00020136477979906667,0.0
255,ko:K00820,0.0010371375004986246,0.0010745862781911376,0.0006506366974143531,0.0
256,ko:K13832,7.977980773066337e-05,9.137638419992666e-05,6.484626155700863e-05,0.0
257,ko:K09816,0.0003191192309226535,0.0002793071477044425,0.0003364786340999843,0.0
258,ko:K01870,0.002513063943515895,0.0027473832849444647,0.0009439230801910944,0.0
259,ko:K03524,0.00039889903865331685,0.0003984010351116802,0.0005035472355176731,0.0
260,ko:K02342,0.0007180182695759704,0.0007139541485487602,0.0008626840297110853,0.0
261,ko:K07083,7.977980773066337e-05,5.4825830519955994e-05,7.315886186612683e-05,0.0
262,ko:K00161,0.00039889903865331685,0.0003000191281230925,0.0003049654735817685,0.0
263,ko:K00162,0.00039889903865331685,0.0004517039258949708,0.0004612356209653241,0.0
264,ko:K03587,0.0007579081734413022,0.0008050259448013538,0.00045145484455523776,0.0
265,ko:K00648,0.0010770274043639563,0.0011096138921344429,0.0011514254051061986,0.0
266,ko:K03179,0.0002792293270573218,0.00024031989044580708,0.0002804971743994382,0.0
267,ko:K11784,0.00011966971159599506,0.0001312774053005613,0.00012842313280433154,0.0
268,ko:K03644,0.0006781283657106389,0.0005741482807228726,0.000632922350126166,0.0
269,ko:K00790,0.0012365870198252833,0.0012204839049636874,0.0009944767794186028,0.0
270,ko:K01962,0.0005584586541146437,0.0006058254272455138,0.0005806254132120908,0.0
